ticker,volume,open,close,high,low,window_start,transactions
ACB,736090.248764,2.790000,2.830000,2.855000,2.790000,1785729600000000000,4388
ACCL,21295.000000,2.251600,2.290000,2.290000,2.250000,1785729600000000000,251
ACCO,854952.292631,4.260000,4.320000,4.558400,4.260000,1785729600000000000,9059
ACCS,20056.384400,6.750000,6.640000,6.915000,6.500000,1785729600000000000,1025
ACDC,912232.463334,3.930000,4.110000,4.150000,3.826000,1785729600000000000,11790
ACEI,28423.040500,22.890000,23.130000,23.230000,22.820000,1785729600000000000,266
ACEL,335681.155039,11.880000,12.030000,12.100000,11.807500,1785729600000000000,5868
ACEP,1464.010300,19.860000,19.975900,19.975900,19.860000,1785729600000000000,23
ACES,147423.650089,30.580000,31.280000,31.470000,30.380000,1785729600000000000,1114
ACET,135437.433631,9.080000,9.240000,9.835000,9.000000,1785729600000000000,2098
ACFN,23400.344670,19.500000,18.662600,19.999900,18.210000,1785729600000000000,487
ACGC,327.000000,9.970000,9.970000,9.970000,9.970000,1785729600000000000,13
